[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=28 16 0 0
[resized] ledMeter1=24 24 0 0 ledMeter2=24 24 0 0 waveform=148 16 604 260 transport=160 276 580 36
[resized] ledMeter1=24 24 104 456 ledMeter2=772 24 104 456 waveform=148 16 608 260 transport=160 276 584 36
[resized] ledMeter1=24 24 104 462 ledMeter2=776 24 104 462 waveform=148 16 610 260 transport=160 276 586 36
[resized] ledMeter1=24 24 104 464 ledMeter2=778 24 104 464 waveform=148 16 611 260 transport=160 276 587 36
[resized] ledMeter1=24 24 104 468 ledMeter2=779 24 104 468 waveform=148 16 613 260 transport=160 276 589 36
[resized] ledMeter1=24 24 104 478 ledMeter2=781 24 104 478 waveform=148 16 615 260 transport=160 276 591 36
[resized] ledMeter1=24 24 104 495 ledMeter2=783 24 104 495 waveform=148 16 616 260 transport=160 276 592 36
[resized] ledMeter1=24 24 104 503 ledMeter2=784 24 104 503 waveform=148 16 622 260 transport=160 276 598 36
[resized] ledMeter1=24 24 104 523 ledMeter2=790 24 104 523 waveform=148 16 631 260 transport=160 276 607 36
[resized] ledMeter1=24 24 104 538 ledMeter2=799 24 104 538 waveform=148 16 639 260 transport=160 276 615 36
[resized] ledMeter1=24 24 104 548 ledMeter2=807 24 104 548 waveform=148 16 644 260 transport=160 276 620 36
[resized] ledMeter1=24 24 104 560 ledMeter2=812 24 104 560 waveform=148 16 643 260 transport=160 276 619 36
[resized] ledMeter1=24 24 104 570 ledMeter2=811 24 104 570 waveform=148 16 641 260 transport=160 276 617 36
[resized] ledMeter1=24 24 104 573 ledMeter2=809 24 104 573 waveform=148 16 640 260 transport=160 276 616 36
[resized] ledMeter1=24 24 104 573 ledMeter2=808 24 104 573 waveform=148 16 639 260 transport=160 276 615 36
[resized] ledMeter1=24 24 104 575 ledMeter2=807 24 104 575 waveform=148 16 637 260 transport=160 276 613 36
[resized] ledMeter1=24 24 104 577 ledMeter2=805 24 104 577 waveform=148 16 636 260 transport=160 276 612 36
[resized] ledMeter1=24 24 104 582 ledMeter2=804 24 104 582 waveform=148 16 635 260 transport=160 276 611 36
[resized] ledMeter1=24 24 104 600 ledMeter2=803 24 104 600 waveform=148 16 636 260 transport=160 276 612 36
[resized] ledMeter1=24 24 104 604 ledMeter2=804 24 104 604 waveform=148 16 637 260 transport=160 276 613 36
[resized] ledMeter1=24 24 104 607 ledMeter2=805 24 104 607 waveform=148 16 638 260 transport=160 276 614 36
[resized] ledMeter1=24 24 104 610 ledMeter2=806 24 104 610 waveform=148 16 642 260 transport=160 276 618 36
[resized] ledMeter1=24 24 104 618 ledMeter2=810 24 104 618 waveform=148 16 643 260 transport=160 276 619 36
[resized] ledMeter1=24 24 104 618 ledMeter2=811 24 104 618 waveform=148 16 644 260 transport=160 276 620 36
[resized] ledMeter1=24 24 104 618 ledMeter2=812 24 104 618 waveform=148 16 644 260 transport=160 276 620 36
[resized] ledMeter1=24 24 104 619 ledMeter2=812 24 104 619 waveform=148 16 645 260 transport=160 276 621 36
[resized] ledMeter1=24 24 104 619 ledMeter2=813 24 104 619 waveform=148 16 646 260 transport=160 276 622 36
[resized] ledMeter1=24 24 104 620 ledMeter2=814 24 104 620 waveform=148 16 647 260 transport=160 276 623 36
